[[ 0.042075  0.036799  0.25838 ]
 [ 0.041904  0.037187  0.258505]
 [ 0.041739  0.037219  0.258619]
 [ 0.041446  0.037573  0.258731]
 [ 0.041303  0.037331  0.25883 ]
 [ 0.040491  0.037559  0.25893 ]
 [ 0.039765  0.038245  0.259025]
 [ 0.038568  0.038757  0.259128]
 [ 0.037329  0.038885  0.259251]
 [ 0.035251  0.039654  0.2594  ]
 [ 0.033623  0.03984   0.259559]
 [ 0.031522  0.040281  0.259734]
 [ 0.02965   0.041355  0.259901]
 [ 0.028052  0.042328  0.26007 ]
 [ 0.025998  0.042693  0.260237]
 [ 0.023849  0.043293  0.260413]
 [ 0.021556  0.043995  0.260606]
 [ 0.01919   0.044105  0.260821]
 [ 0.016729  0.044236  0.261096]
 [ 0.013483  0.045102  0.261364]
 [ 0.010871  0.045586  0.261658]
 [ 0.007973  0.045779  0.262019]
 [ 0.004794  0.045779  0.262441]
 [ 0.000913  0.045793  0.262818]
 [-0.003038  0.046076  0.263215]
 [-0.006461  0.045424  0.263665]
 [-0.010195  0.044215  0.264101]
 [-0.014213  0.042907  0.264484]
 [-0.018004  0.041523  0.264813]
 [-0.02206   0.04083   0.2651  ]
 [-0.025689  0.039176  0.265417]
 [-0.028318  0.035665  0.265667]
 [-0.031583  0.033724  0.265877]
 [-0.034402  0.030736  0.266043]
 [-0.036349  0.027647  0.266176]
 [-0.038617  0.024838  0.266281]
 [-0.040964  0.022257  0.266363]
 [-0.042711  0.020107  0.266429]
 [-0.044082  0.017021  0.266476]
 [-0.045256  0.014252  0.266513]
 [-0.046242  0.010491  0.266536]
 [-0.046988  0.007606  0.266544]
 [-0.04754   0.004798  0.266543]
 [-0.048024  0.001943  0.266519]
 [-0.048027 -0.00232   0.266433]
 [-0.04814  -0.005166  0.266303]
 [-0.04787  -0.007695  0.266044]
 [-0.04756  -0.011263  0.265619]
 [-0.046608 -0.01485   0.265152]
 [-0.045501 -0.017491  0.264489]
 [-0.044534 -0.021251  0.263734]
 [-0.043245 -0.025386  0.262858]
 [-0.041717 -0.029843  0.261822]
 [-0.040339 -0.033472  0.260614]
 [-0.039061 -0.036682  0.259292]
 [-0.038104 -0.039319  0.257727]
 [-0.036051 -0.042312  0.255203]
 [-0.033501 -0.046032  0.25244 ]
 [-0.031555 -0.048771  0.249144]
